id	code	name	download_link	notes	filename	platform	n_details	ancestry_details	consortium	permissions	assembly	uk_biobank	ancestry	dependent_variable	sex	n_cases	n_controls	n_total	time_created	time_updated	reference_id	phenotype_id	category_id	category_name	phenotype	phenotype_type	pmid	year
11	ADIP01F	Pericardial adipose tissue volume female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/PAT.tar.gz	NA	PAT_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	3	1	anthropometric	adip. tissue vol. pericard.	biomarker	27918534	2017
12	ADIP01M	Pericardial adipose tissue volume male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/PAT.tar.gz	NA	PAT_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	3	1	anthropometric	adip. tissue vol. pericard.	biomarker	27918534	2017
13	ADIP02	Pericardial adipose tissue volume adj. for height and weight	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/PATadjHtWt.tar.gz	NA	PATadjHtWt_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	4	1	anthropometric	adip. tissue vol. pericard. adj. height weight	biomarker	27918534	2017
14	ADIP02F	Pericardial adipose tissue volume adj. for height and weight female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/PATadjHtWt.tar.gz	NA	PATadjHtWt_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	4	1	anthropometric	adip. tissue vol. pericard. adj. height weight	biomarker	27918534	2017
15	ADIP02M	Pericardial adipose tissue volume adj. for height and weight male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/PATadjHtWt.tar.gz	NA	PATadjHtWt_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	4	1	anthropometric	adip. tissue vol. pericard. adj. height weight	biomarker	27918534	2017
16	ADIP03	Subcutaneous adipose tissue volume	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/SAT.tar.gz	NA	SAT_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic (AA + EA)	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	5	1	anthropometric	adip. tissue vol. subcut.	biomarker	27918534	2017
17	ADIP03F	Subcutaneous adipose tissue volume female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/SAT.tar.gz	NA	SAT_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	5	1	anthropometric	adip. tissue vol. subcut.	biomarker	27918534	2017
18	ADIP03M	Subcutaneous adipose tissue volume male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/SAT.tar.gz	NA	SAT_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	5	1	anthropometric	adip. tissue vol. subcut.	biomarker	27918534	2017
19	ADIP04	Subcutaneous adipose tissue attenuation	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/SATHU.tar.gz	NA	SATHU_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	1	1	anthropometric	adip. tissue att. subcut.	biomarker	27918534	2017
20	ADIP04F	Subcutaneous adipose tissue attenuation female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/SATHU.tar.gz	NA	SATHU_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	1	1	anthropometric	adip. tissue att. subcut.	biomarker	27918534	2017
21	ADIP04M	Subcutaneous adipose tissue attenuation male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/SATHU.tar.gz	NA	SATHU_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	1	1	anthropometric	adip. tissue att. subcut.	biomarker	27918534	2017
22	ADIP05	Visceral adipose tissue volume	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VAT.tar.gz	NA	VAT_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	6	1	anthropometric	adip. tissue vol. visceral	biomarker	27918534	2017
23	ADIP05F	Visceral adipose tissue volume female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VAT.tar.gz	NA	VAT_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	6	1	anthropometric	adip. tissue vol. visceral	biomarker	27918534	2017
24	ADIP05M	Visceral adipose tissue volume male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VAT.tar.gz	NA	VAT_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	6	1	anthropometric	adip. tissue vol. visceral	biomarker	27918534	2017
25	ADIP06	Visceral adipose tissue volume adj. for BMI	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATadjBMI.tar.gz	NA	VATadjBMI_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	7	1	anthropometric	adip. tissue vol. visceral adj. BMI	biomarker	27918534	2017
26	ADIP06F	Visceral adipose tissue volume adj. for BMI female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATadjBMI.tar.gz	NA	VATadjBMI_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	7	1	anthropometric	adip. tissue vol. visceral adj. BMI	biomarker	27918534	2017
27	ADIP06M	Visceral adipose tissue volume adj. for BMI male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATadjBMI.tar.gz	NA	VATadjBMI_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	7	1	anthropometric	adip. tissue vol. visceral adj. BMI	biomarker	27918534	2017
28	ADIP07	Visceral adipose tissue attenutation	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATHU.tar.gz	NA	VATHU_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	2	1	anthropometric	adip. tissue att. visceral	biomarker	27918534	2017
29	ADIP07F	Visceral adipose tissue attenutation female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATHU.tar.gz	NA	VATHU_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	2	1	anthropometric	adip. tissue att. visceral	biomarker	27918534	2017
30	ADIP07M	Visceral adipose tissue attenutation male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATHU.tar.gz	NA	VATHU_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	2	1	anthropometric	adip. tissue att. visceral	biomarker	27918534	2017
31	ADIP08	Ratio of visceral-to-subcutaneous adipose tissue volume	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATSAT.tar.gz	NA	VATSAT_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	8	1	anthropometric	adip. tissue vol. visceral/subcut.	biomarker	27918534	2017
32	ADIP08F	Ratio of visceral-to-subcutaneous adipose tissue volume female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATSAT.tar.gz	NA	VATSAT_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	8	1	anthropometric	adip. tissue vol. visceral/subcut.	biomarker	27918534	2017
33	ADIP08M	Ratio of visceral-to-subcutaneous adipose tissue volume male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATSAT.tar.gz	NA	VATSAT_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	8	1	anthropometric	adip. tissue vol. visceral/subcut.	biomarker	27918534	2017
34	ADIP09	Ratio of visceral-to-subcutaneous adipose tissue volume adj. for BMI	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATSATadjBMI.tar.gz	NA	VATSATadjBMI_OVERALL_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	both	NA	NA	18332	2019-02-05 16:37:59	2019-02-05 16:37:59	99	9	1	anthropometric	adip. tissue vol. visceral/subcut. adj. BMI	biomarker	27918534	2017
35	ADIP09F	Ratio of visceral-to-subcutaneous adipose tissue volume adj. for BMI female	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATSATadjBMI.tar.gz	NA	VATSATadjBMI_WOMEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	female	NA	NA	9594	2019-02-05 16:37:59	2019-02-05 16:37:59	99	9	1	anthropometric	adip. tissue vol. visceral/subcut. adj. BMI	biomarker	27918534	2017
36	ADIP09M	Ratio of visceral-to-subcutaneous adipose tissue volume adj. for BMI male	https://grasp.nhlbi.nih.gov/downloads/FullResults/2017/2017_Chu/VATSATadjBMI.tar.gz	NA	VATSATadjBMI_MEN_formatted_upload_071416.csv.gz	NA	NA	Transethnic	NA	FREE	NA	no	MIX	continuous	male	NA	NA	8738	2019-02-05 16:37:59	2019-02-05 16:37:59	99	9	1	anthropometric	adip. tissue vol. visceral/subcut. adj. BMI	biomarker	27918534	2017
37	AGAB01	Agreeableness (NEO five factor inventory)	https://www.dropbox.com/s/df3bifmk238ks2y/GPC-1.BigFiveNEO.zip?dl=0	NA	GPC-1.NEO-AGREEABLENESS.full.txt.gz	NA	NA	European	GPC	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	17375	2019-02-05 16:37:59	2019-02-05 16:37:59	12	156	7	mental and behavioural	aggreeableness	trait	21173776	2012
38	AGGR01	Aggression	https://grasp.nhlbi.nih.gov/downloads/FullResults/2016/2016_Pappa/aggression_Metal_Results.rar	NA	pappa_150810_EAGLE_MA_aggression_METAL_RESULTS.txt.gz	NA	NA	European	EAGLE	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	18988	2019-02-05 16:37:59	2019-02-05 16:37:59	58	157	7	mental and behavioural	aggression	trait	26087016	2015
39	AGRA01	Clozapine-Induced Agranulocytosis	https://www.med.unc.edu/pgc/files/resultfiles/ejwvo.ciacgwassu.zip	NA	daner_cia_combo_eur-qc.ch.fl.gz	NA	NA	European	CIAC	FREE	NA	no	EUR	binary	both	161	1196	1357	2019-02-05 16:37:59	2019-02-05 16:37:59	46	62	4	circulatory	clozapine induced agranulocytosis	disorder	25187353	2014
40	ALCD01	Alcohol dependence all ancestries	NA	NA	alcdep_all.jul2017.min_n.gz	NA	NA	Transethnic	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	MIX	binary	both	14904	37944	52848	2019-02-05 16:37:59	2019-02-05 16:37:59	132	141	7	mental and behavioural	alcohol dependence	disorder	30482948	2017
41	ALCD02	Alcohol dependence African	NA	NA	alcdep_afr_all.jul2017.min_n.gz	NA	NA	African	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	AFR	binary	both	3335	2945	6280	2019-02-05 16:37:59	2019-02-05 16:37:59	132	141	7	mental and behavioural	alcohol dependence	disorder	30482948	2017
42	ALCD03	Alcohol dependence European	NA	NA	alcdep_eur_all.jul2017.min_n.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	binary	both	11569	34999	46568	2019-02-05 16:37:59	2019-02-05 16:37:59	132	141	7	mental and behavioural	alcohol dependence	disorder	30482948	2017
43	ALCD03F	Alcohol dependence European female	NA	NA	daner_alcdep_eur_female_jul2017.gz.jul2017.min_n.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	binary	female	2504	6033	8537	2019-02-05 16:37:59	2019-02-05 16:37:59	132	141	7	mental and behavioural	alcohol dependence	disorder	30482948	2017
44	ALCD03M	Alcohol dependence European male	NA	NA	daner_alcdep_eur_male_jul2017.gz.jul2017.min_n.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	binary	male	5932	9412	15344	2019-02-05 16:37:59	2019-02-05 16:37:59	132	141	7	mental and behavioural	alcohol dependence	disorder	30482948	2017
45	ALCO01	Daily alcohol use	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/pooled_continuous_alcohol.csv.gz	NA	pooled_continuous_alcohol.csv.gz	NA	NA	European	AlcGen & CHARGE	FREE	NCBI36/hg18	no	EUR	continuous	both	NA	NA	70460	2019-02-05 16:37:59	2019-02-05 16:37:59	98	164	7	mental and behavioural	daily alcohol use	trait	27911795	2016
46	ALCO01F	Daily alcohol use female	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/women_continuous_alcohol.csv.gz	NA	women_continuous_alcohol.csv.gz	NA	NA	European	AlcGen & CHARGE	FREE	NCBI36/hg18	no	EUR	continuous	female	NA	NA	42900	2019-02-05 16:37:59	2019-02-05 16:37:59	98	164	7	mental and behavioural	daily alcohol use	trait	27911795	2016
47	ALCO01M	Daily alcohol use male	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/men_continuous_alcohol.csv.gz	NA	men_continuous_alcohol.csv.gz	NA	NA	European	AlcGen & CHARGE	FREE	NCBI36/hg18	no	EUR	continuous	male	NA	NA	27560	2019-02-05 16:37:59	2019-02-05 16:37:59	98	164	7	mental and behavioural	daily alcohol use	trait	27911795	2016
48	ALCO02	Daily alcohol use (light/heavy)	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/pooled_dichotomous_alcohol.csv.gz	NA	pooled_dichotomous_alcohol.csv.gz	NA	NA	European	AlcGen & CHARGE	FREE	NCBI36/hg18	no	EUR	binary	both	NA	NA	74711	2019-02-05 16:37:59	2019-02-05 16:37:59	98	164	7	mental and behavioural	daily alcohol use	trait	27911795	2016
49	ALCO02F	Daily alcohol use (light/heavy) female	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/women_dichotomous_alcohol.csv.gz	NA	women_dichotomous_alcohol.csv.gz	NA	NA	European	AlcGen & CHARGE	FREE	NCBI36/hg18	no	EUR	binary	female	NA	NA	47720	2019-02-05 16:37:59	2019-02-05 16:37:59	98	164	7	mental and behavioural	daily alcohol use	trait	27911795	2016
50	ALCO02M	Daily alcohol use (light/heavy) male	https://grasp.nhlbi.nih.gov/downloads/ResultsFebruary2017/2016/2016_Schumann/men_dichotomous_alcohol.csv.gz	NA	men_dichotomous_alcohol.csv.gz	NA	NA	European	AlcGen & CHARGE	FREE	NCBI36/hg18	no	EUR	binary	male	NA	NA	26991	2019-02-05 16:37:59	2019-02-05 16:37:59	98	164	7	mental and behavioural	daily alcohol use	trait	27911795	2016
743	ALCO03	weekly alcohol use	https://www.dropbox.com/s/7hjxdhlxlwa482n/DRINKS_PER_WEEK_GWAS.txt?dl=0		DRINKS_PER_WEEK_GWAS.txt.gz					FREE	GRCh37/hg19	yes	EUR	continuous	both	NA	NA	414343	2019-11-18 15:32:24	2019-11-18 15:56:11	147	453	7	mental and behavioural	weekly alcohol use	trait	30643258	2019
672	ALCU01	AUDIT total score	https://www.med.unc.edu/pgc/results-and-downloads/	Downloaded sumstats contain results for all three scales of the AUDIT (T, C, and P). Oliver Pain extracted the relevant columns for each scale prior to submitting to the Rosalind GWAS sumstats pipeline.	audit_ukb_2018_ajp.txt.gz					FREE	NA	yes	EUR	continuous	both	NA	NA	121604	2019-08-07 14:55:52	2019-08-07 14:55:52	143	407	7	mental and behavioural	alcohol use	trait	30336701	2019
673	ALCU02	Consumption (AUDIT-C)	https://www.med.unc.edu/pgc/results-and-downloads/	Downloaded sumstats contain results for all three scales of the AUDIT (T, C, and P). Oliver Pain extracted the relevant columns for each scale prior to submitting to the Rosalind GWAS sumstats pipeline.	audit_ukb_2018_ajp.txt.gz					FREE	NA	yes	EUR	continuous	both	NA	NA	121604	2019-08-07 15:23:36	2019-08-07 15:23:36	143	407	7	mental and behavioural	alcohol use	trait	30336701	2019
671	ALCU03	 Problematic consequences of drinking (AUDIT-P)	https://www.med.unc.edu/pgc/results-and-downloads/	Downloaded sumstats contain results for all three scales of the AUDIT (T, C, and P). Oliver Pain extracted the relevant columns for each scale prior to submitting to the Rosalind GWAS sumstats pipeline.	audit_ukb_2018_ajp.txt.gz					FREE	NA	yes	EUR	continuous	both	NA	NA	121604	2019-08-07 14:55:24	2019-08-07 14:55:24	143	407	7	mental and behavioural	alcohol use	trait	30336701	2019
51	ALSD01	Amyotrophic lateral sclerosis	http://databrowser.projectmine.com/	NA	als.sumstats.meta.txt.gz	NA	NA	European	NA	FREE	NA	no	EUR	binary	both	12577	23475	36052	2019-02-05 16:37:59	2019-02-05 16:37:59	87	366	13	nervous system	amyotrophic lateral sclerosis	disorder	27455348	2016
52	ALSD01F	Amyotrophic lateral sclerosis female	NA	NA	out_gwas3_ALL_A_LR_GenderF.assoc.logistic_withA2.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	binary	female	NA	NA	16294	2019-02-05 16:37:59	2019-02-05 16:37:59	87	366	13	nervous system	amyotrophic lateral sclerosis	disorder	27455348	2016
53	ALSD01M	Amyotrophic lateral sclerosis male	NA	NA	out_gwas3_ALL_A_LR_GenderM.assoc.logistic_withA2.gz	NA	NA	European	NA	EATING DISORDERS AND DRUG TARGETOR	NA	no	EUR	binary	male	NA	NA	17564	2019-02-05 16:37:59	2019-02-05 16:37:59	87	366	13	nervous system	amyotrophic lateral sclerosis	disorder	27455348	2016
54	ALZH01	Alzheimer	http://www.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	NA	IGAP_stage_1.txt.gz	NA	NA	European	IGAP	FREE	GRCh37/hg19	no	EUR	binary	both	17008	37154	54162	2019-02-05 16:37:59	2019-02-05 16:37:59	36	365	13	nervous system	Alzheimer	disorder	24162737	2013
746	ALZH02	Alzheimer's Disease 2019 (clinically diagnosed AD and AD-by-proxy)	https://ctg.cncr.nl/documents/p1651/AD_sumstats_Jansenetal.txt.gz		AD_sumstats_Jansenetal.txt.gz					FREE	GRCh37/hg19	yes	EUR	binary	both	71880	383378	455258	2019-11-19 13:56:45	2019-11-19 13:56:45	155	365	13	nervous system	Alzheimer	disorder	30617256	2019
55	AMIN01	Alanine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Ala.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	24796	2019-02-05 16:37:59	2019-02-05 16:37:59	77	125	8	metabolism: amino acids	alanine	biomarker	27005778	2016
56	AMIN02	Glutamine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Gln.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	24462	2019-02-05 16:37:59	2019-02-05 16:37:59	77	126	8	metabolism: amino acids	glutamine	biomarker	27005778	2016
57	AMIN03	Glycine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Gly.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	18734	2019-02-05 16:37:59	2019-02-05 16:37:59	77	127	8	metabolism: amino acids	glycine	biomarker	27005778	2016
58	AMIN04	Histidine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_His.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	19244	2019-02-05 16:37:59	2019-02-05 16:37:59	77	128	8	metabolism: amino acids	histidine	biomarker	27005778	2016
59	AMIN05	Isoleucine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Ile.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	24776	2019-02-05 16:37:59	2019-02-05 16:37:59	77	129	8	metabolism: amino acids	isoleucine	biomarker	27005778	2016
60	AMIN06	Leucine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Leu.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	24728	2019-02-05 16:37:59	2019-02-05 16:37:59	77	130	8	metabolism: amino acids	leucine	biomarker	27005778	2016
61	AMIN07	Phenylalanine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Phe.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	22663	2019-02-05 16:37:59	2019-02-05 16:37:59	77	131	8	metabolism: amino acids	phenylalanine	biomarker	27005778	2016
62	AMIN08	Tyrosine	http://www.computationalmedicine.fi/data#NMR_GWAS	NA	Summary_statistics_MAGNETIC_Tyr.txt.gz	NA	NA	European (+ Finnish)	MAGNETIC	FREE	NA	no	EUR	continuous	both	NA	NA	24925	2019-02-05 16:37:59	2019-02-05 16:37:59	77	132	8	metabolism: amino acids	tyrosine	biomarker	27005778	2016
